Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
459,Juan Pablo Torres\Juan-Pablo-Torres,us USA,FW,NYCFC,20,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
460,Diego Palacios\Diego-Palacios,ec ECU,DF,Los Angeles FC,20,1999,13.6,0.00,0.29,0.00,0.0,0.29,0.00,0.00,,22.7,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
461,Marcelo Palomino\Marcelo-Palomino,us USA,MF,Houston,18,2001,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
462,James Pantemis\James-Pantemis,ca CAN,GK,Montreal,22,1997,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
463,Cristhian Paredes\Cristhian-Paredes,py PAR,MF,Portland,21,1998,9.1,0.00,1.10,0.44,40.0,1.09,0.44,0.00,0.00,18.5,0.00,0.00,0.00,0.11,0.11,0.10,-0.11,-0.11,Matches
464,Kevin Paredes\Kevin-Paredes,us USA,MFDF,D.C. United,16,2003,10.5,0.00,0.48,0.29,60.0,0.48,0.29,0.00,0.00,15.8,0.00,0.00,0.00,0.05,0.05,0.11,-0.05,-0.05,Matches
465,Tim Parker\Tim-Parker,us USA,DF,NY Red Bulls,26,1993,18.0,0.00,0.11,0.06,50.0,0.11,0.06,0.00,0.00,8.4,0.00,0.00,0.00,0.01,0.01,0.07,-0.01,-0.01,Matches
466,Keaton Parks\Keaton-Parks,us USA,MF,NYCFC,22,1997,19.2,0.16,2.14,0.83,39.0,2.14,0.83,0.07,0.19,15.1,0.00,0.00,0.00,0.20,0.20,0.11,-0.05,-0.05,Matches
467,Santiago Patiño\Santiago-Patino,us USA,MFFW,Orlando City,22,1997,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
468,João Paulo Mior\Joao-Paulo-Mior,br BRA,MF,Seattle,28,1991,16.7,0.12,0.96,0.30,31.3,0.96,0.30,0.13,0.40,22.9,0.00,0.00,0.00,0.04,0.04,0.04,0.08,0.08,Matches
469,Cristian Pavón\Cristian-Pavon,ar ARG,FWMF,LA Galaxy,24,1996,22.0,0.45,2.73,1.00,36.7,2.73,1.00,0.12,0.32,20.3,0.14,0.14,0.14,0.30,0.20,0.07,0.15,0.12,Matches
470,Damiano Pecile\Damiano-Pecile,ca CAN,MF,Vancouver,17,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
471,Matías Pellegrini\Matias-Pellegrini,ar ARG,FWMF,Miami,19,2000,10.7,0.09,1.50,0.47,31.3,1.50,0.47,0.06,0.20,18.3,0.00,0.00,0.00,0.14,0.14,0.09,-0.05,-0.05,Matches
