Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
75,Geoff Cameron\Geoff-Cameron,us USA,DFMF,Stoke City,32,1985,16.9,1.89,1.07,1.24,0.65,0.00,0.77,1.89,40.6,1.12,13.3,3.61,27.1,7.04,5.33,0.95,2.07,0.47,0.00,1.60,1.54,3.43,3.43,0.06,Matches
76,Tyrese Campbell\Tyrese-Campbell,eng ENG,FWMF,Stoke City,17,1999,0.9,2.22,1.11,0.00,2.22,0.00,2.22,2.22,100.0,0.00,26.7,6.67,25.0,2.22,12.2,12.2,4.44,1.11,0.00,3.33,1.11,3.33,0.00,0.00,Matches
77,Emre Can\Emre-Can,de GER,MF,Liverpool,23,1994,23.2,2.76,2.11,1.38,1.03,0.34,0.69,1.77,39.0,1.08,19.1,6.94,36.4,6.21,9.96,2.89,1.94,0.17,0.00,1.77,1.08,3.84,1.34,0.00,Matches
78,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,29,1988,17.1,2.57,1.75,0.88,1.58,0.12,1.11,2.40,46.3,1.29,15.6,4.04,25.8,5.32,8.30,1.99,1.64,0.18,0.00,1.46,1.93,4.50,1.93,0.06,Matches
79,Michael Carrick\Michael-Carrick,eng ENG,MF,Manchester Utd,36,1981,1.2,0.83,0.83,0.00,0.83,0.00,0.83,2.50,33.3,1.67,23.3,5.83,25.0,6.67,12.5,4.17,2.50,0.00,0.00,2.50,1.67,2.50,2.50,0.00,Matches
80,André Carrillo\Andre-Carrillo,pe PER,FWMF,Watford,26,1991,17.1,1.29,0.99,0.76,0.53,0.00,0.53,1.35,39.1,0.82,19.1,4.80,25.2,5.26,8.95,4.85,1.05,0.00,0.00,1.05,0.88,2.16,0.47,0.00,Matches
81,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Southampton,26,1991,5.0,1.40,0.80,0.20,0.60,0.60,0.40,1.40,28.6,1.00,17.2,4.80,27.9,0.80,5.00,11.4,1.40,0.00,0.00,1.40,0.00,1.40,0.60,0.00,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FWMF,West Ham,28,1989,8.3,0.48,0.12,0.12,0.24,0.12,0.12,0.24,50.0,0.12,10.1,2.05,20.2,0.36,4.70,5.06,0.84,0.48,0.00,0.36,0.24,0.72,1.81,0.00,Matches
83,Tom Carroll\Tom-Carroll,eng ENG,MF,Swansea City,25,1992,28.6,1.61,0.91,0.70,0.52,0.38,0.42,1.89,22.2,1.47,19.7,4.72,24.0,7.80,8.74,3.11,1.19,0.24,0.00,0.94,0.84,2.45,0.45,0.00,Matches
84,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,28,1989,5.8,1.21,1.03,0.86,0.34,0.00,0.34,1.03,33.3,0.69,4.14,2.24,54.2,2.93,0.86,0.34,1.21,1.03,0.00,0.17,0.86,2.07,4.83,0.00,Matches
85,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,35,1982,33.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,Matches
86,Nacer Chadli\Nacer-Chadli,be BEL,FWMF,West Brom,27,1989,2.9,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.0,0.34,9.66,2.07,21.4,3.45,4.14,2.07,1.03,0.00,0.00,1.03,0.00,0.00,0.69,0.00,Matches
87,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,22,1994,5.0,1.80,1.80,0.80,1.00,0.00,0.20,1.00,20.0,0.80,12.8,5.00,39.1,4.20,6.80,1.80,1.60,0.80,0.00,0.80,1.20,3.00,1.00,0.00,Matches
88,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,22,1995,9.6,1.77,1.25,1.04,0.63,0.10,0.63,1.67,37.5,1.04,6.77,2.92,43.1,3.75,2.60,0.42,2.81,1.25,0.00,1.56,1.04,2.81,2.92,0.00,Matches
89,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,20,1996,20.6,1.65,1.21,0.87,0.53,0.24,0.44,1.41,31.0,0.97,12.6,3.45,27.4,7.14,3.98,1.46,2.23,0.15,0.00,2.09,1.21,2.86,1.94,0.05,Matches
90,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,19,1997,4.2,2.62,0.95,1.67,0.95,0.00,0.48,1.90,25.0,1.43,13.1,3.81,29.1,5.95,5.95,1.19,3.10,0.24,0.00,2.86,2.38,5.00,1.43,0.00,Matches
